,orig,ot,pearson,mse
0,0.32721319690144784,0.3080326212185352,0.3024081474355158,0.07192740194114591
1,0.10955562800602388,0.45407341042463417,0.3024081474355158,0.07192740194114591
2,-0.04528381014328419,0.022239096001372378,0.3024081474355158,0.07192740194114591
3,0.07686193469244067,0.11050423547270377,0.3024081474355158,0.07192740194114591
4,0.29983440253801014,0.08267999285969416,0.3024081474355158,0.07192740194114591
5,0.04255585402573634,0.14442415598446348,0.3024081474355158,0.07192740194114591
6,0.16152031024328634,-0.0448442997472606,0.3024081474355158,0.07192740194114591
7,0.2971082931324438,0.47500763330541435,0.3024081474355158,0.07192740194114591
8,0.03621382791886034,-0.007682130973695099,0.3024081474355158,0.07192740194114591
9,0.12109963857577187,0.1678432704899476,0.3024081474355158,0.07192740194114591
10,0.3649436602914101,-0.08710230202036016,0.3132110529304175,0.0680888885936013
11,0.12303604708841222,-0.14596024492461765,0.3132110529304175,0.0680888885936013
12,0.3731192107438502,0.017886694440045325,0.3132110529304175,0.0680888885936013
13,0.4173109522471359,0.041171987815974226,0.3132110529304175,0.0680888885936013
14,-0.016104972107229106,-0.14707648713889415,0.3132110529304175,0.0680888885936013
15,0.27915483677079284,0.12710751982147625,0.3132110529304175,0.0680888885936013
16,0.04940665798001186,-0.31411428825284965,0.3132110529304175,0.0680888885936013
17,0.21818940764815964,-0.05798252834111701,0.3132110529304175,0.0680888885936013
18,0.28391875923513726,-0.22484069062974452,0.3132110529304175,0.0680888885936013
19,0.3627605186592698,0.3198240227825679,0.3132110529304175,0.0680888885936013
20,0.20703936683736535,0.17943046119440043,0.3132110529304175,0.0680888885936013
21,0.3915146900363038,0.06384111225546016,0.3132110529304175,0.0680888885936013
22,0.21687825790662532,0.0475681483713743,0.3132110529304175,0.0680888885936013
23,0.1525593692682948,0.09019736968793299,0.3132110529304175,0.0680888885936013
24,0.05304126813241579,0.14996307486538185,0.3132110529304175,0.0680888885936013
25,0.01914307451092705,-0.15465084443429547,0.3132110529304175,0.0680888885936013
26,0.11927046173929724,0.10001181249039827,0.3132110529304175,0.0680888885936013
27,0.008431887716294582,-0.2167583349367823,0.3132110529304175,0.0680888885936013
28,0.0013948532952529204,-0.07076183597946156,0.3132110529304175,0.0680888885936013
29,0.1296615512879183,-0.1745291463730812,0.3132110529304175,0.0680888885936013
30,0.008848340073888987,-0.08103740597275706,0.3024081474355158,0.07192740194114591
31,0.1930515237423665,0.02434669211450637,0.3024081474355158,0.07192740194114591
32,0.2788945249450922,0.3390927237298242,0.3024081474355158,0.07192740194114591
33,0.13589991511897628,0.23112247450678014,0.3024081474355158,0.07192740194114591
34,0.4758651137163385,0.517916076325595,0.3024081474355158,0.07192740194114591
35,0.3024074627081631,0.06073211021837263,0.3024081474355158,0.07192740194114591
36,0.2751380841590497,0.27004021730234545,0.3024081474355158,0.07192740194114591
37,0.15101235806640279,0.356582113761431,0.3024081474355158,0.07192740194114591
38,0.04946931497038995,0.35604639531006727,0.3024081474355158,0.07192740194114591
39,0.11951205591070707,0.09816700136817885,0.3024081474355158,0.07192740194114591
40,0.24995137093325187,-0.13181990388490974,0.3132110529304175,0.0680888885936013
41,0.21550657478044297,-0.046259133508604125,0.3132110529304175,0.0680888885936013
42,0.28151188751785194,-0.1905535950659105,0.3132110529304175,0.0680888885936013
43,0.34354597069691545,-0.2656783615945272,0.3132110529304175,0.0680888885936013
44,0.3668866902113554,0.00352878742682146,0.3132110529304175,0.0680888885936013
45,-0.030533720567622605,0.049087320609615626,0.3132110529304175,0.0680888885936013
46,-0.028828207412415298,0.11849165336019135,0.3132110529304175,0.0680888885936013
47,0.23157336486392974,0.045168153943722596,0.3132110529304175,0.0680888885936013
48,0.30623174378853807,-0.027838236669182937,0.3132110529304175,0.0680888885936013
49,0.13204570976560345,0.1372518597188219,0.3132110529304175,0.0680888885936013
50,0.17735597626113267,0.06600545300316203,0.3132110529304175,0.0680888885936013
51,0.0462202345706629,-0.2266790280658474,0.3132110529304175,0.0680888885936013
52,0.2410114378344588,0.15267316680583468,0.3132110529304175,0.0680888885936013
53,0.28922180706160244,-0.0931947347419118,0.3132110529304175,0.0680888885936013
54,0.1330301437683736,-0.06440588046696816,0.3132110529304175,0.0680888885936013
55,-0.08187578109956814,-0.0048218960251221014,0.3132110529304175,0.0680888885936013
56,0.35767978191129784,0.3186991311667835,0.3132110529304175,0.0680888885936013
57,0.2555764501227334,-0.06622814360780861,0.3132110529304175,0.0680888885936013
58,0.1157515027217491,-0.11742797434169688,0.3132110529304175,0.0680888885936013
59,0.30613188380752343,0.3082627883753035,0.3132110529304175,0.0680888885936013
60,0.40136405814572196,0.3325803922182772,0.6225409447714438,0.05015782925425922
61,0.3695732449412663,0.4118998805987117,0.6225409447714438,0.05015782925425922
62,0.1284271799621441,0.09261501440482804,0.6225409447714438,0.05015782925425922
63,0.10729650149963232,0.18961103338155028,0.6225409447714438,0.05015782925425922
64,0.14983152087477866,0.3450075374032218,0.6225409447714438,0.05015782925425922
65,0.03757702647597137,-0.006604998724506944,0.6225409447714438,0.05015782925425922
66,0.3558613415279321,0.27617531751847,0.6225409447714438,0.05015782925425922
67,-0.03157085640875078,0.12648987018073055,0.6225409447714438,0.05015782925425922
68,0.4379675852611126,0.04045520831216071,0.6225409447714438,0.05015782925425922
69,0.09391039219079027,0.01511022503435669,0.6225409447714438,0.05015782925425922
70,0.13233675764659858,0.20582623781632706,0.5006080181623803,0.062178590144591754
71,0.3670605694677359,0.21004763571082177,0.5006080181623803,0.062178590144591754
72,0.15538196814612476,0.1813137793972682,0.5006080181623803,0.062178590144591754
73,0.12934196642594067,0.2824666840585185,0.5006080181623803,0.062178590144591754
74,0.15102989725300686,0.21317001712618194,0.5006080181623803,0.062178590144591754
75,-0.05754908795729815,-0.05695936689017807,0.5006080181623803,0.062178590144591754
76,0.19066629501771465,0.11869230801093297,0.5006080181623803,0.062178590144591754
77,0.20947770626848772,0.39158037754047,0.5006080181623803,0.062178590144591754
78,0.0534932191119973,0.4020756926438481,0.5006080181623803,0.062178590144591754
79,-0.13587261497425485,-0.10423992362981054,0.5006080181623803,0.062178590144591754
80,0.16640263010381565,0.0515354505060721,0.5006080181623803,0.062178590144591754
81,0.2531186799570173,0.4464121212051535,0.5006080181623803,0.062178590144591754
82,0.19891381001327113,0.3112508104906475,0.5006080181623803,0.062178590144591754
83,0.25228607609703585,0.06335252977363882,0.5006080181623803,0.062178590144591754
