,51,51,51,51,51,103,103,103,103,103,154,154,154,154,154,206,206,206,206,206,257,257,257,257,257,309,309,309,309,309,360,360,360,360,360,412,412,412,412,412,463,463,463,463,463
,100,200,300,400,500,100,200,300,400,500,100,200,300,400,500,100,200,300,400,500,100,200,300,400,500,100,200,300,400,500,100,200,300,400,500,100,200,300,400,500,100,200,300,400,500
0,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133,0.38917462938323133
1,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852,0.2886147383733852
2,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806,0.4197334204749806
3,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317,0.2160071341150317
4,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895,0.36981761836928895
5,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823,0.2676718066893823
6,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646,0.34535589888499646
7,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649,0.2920958993086649
