44.74,44.81,47.70
44.98,44.12,48.84
45.65,43.83,49.40
43.22,42.59,49.35
44.16,41.07,47.46
44.38,43.30,47.58
44.49,44.54,49.82
44.69,45.19,49.26
44.37,45.55,49.45
44.70,42.70,48.91
45.56,39.71,47.14
43.91,40.02,44.67
45.20,36.22,44.63
45.89,37.90,45.34
48.37,37.68,46.75
42.11,38.76,47.33
48.35,41.43,46.44
44.48,40.26,45.61
46.49,35.43,44.27
43.25,33.96,44.36
47.85,36.96,44.25
41.72,38.46,46.13
44.47,40.20,48.30
42.15,42.94,47.32
45.68,43.06,46.18
44.11,40.16,42.60
45.00,35.90,38.64
41.13,36.95,39.21
45.28,46.09,41.86
45.16,43.67,41.73
45.65,44.37,40.73
43.02,45.35,41.36
46.24,44.73,39.87
41.62,43.75,39.69
46.48,42.45,38.71
42.57,43.13,39.04
44.68,44.51,39.33
42.21,43.75,39.57
45.28,44.89,38.97
43.28,45.30,39.37
45.80,39.42,37.11
44.70,38.57,37.06
47.19,40.19,35.60
42.78,38.63,35.47
46.14,37.96,35.01
41.70,38.51,35.72
45.58,37.45,35.17
44.86,40.05,36.18
45.78,44.37,36.48
46.07,45.93,40.25
44.71,48.46,43.90
45.31,49.96,44.22
48.59,52.24,47.82
45.21,52.26,50.65
45.34,52.84,52.10
40.71,52.96,53.15
45.58,54.45,49.56
43.24,55.46,48.49
44.55,54.78,47.19
44.59,53.20,45.89
47.72,52.23,43.26
45.34,51.05,46.05
45.48,51.21,45.68
40.85,52.98,44.99
43.73,58.22,44.23
44.62,55.12,44.97
46.43,55.14,47.95
46.46,53.35,40.32
47.43,49.13,30.80
41.68,49.25,32.73
49.96,56.09,38.10
47.38,53.44,37.62
44.84,53.16,37.30
42.45,53.95,37.88
45.87,55.30,37.07
39.81,53.33,36.04
47.46,50.68,33.48
43.95,51.56,34.05
52.00,53.96,35.13
43.03,55.40,36.75
52.52,56.80,34.70
38.13,55.63,32.38
47.95,52.57,31.37
38.05,52.56,29.91
48.63,61.42,35.22
41.37,60.57,36.12
41.49,57.24,34.45
30.96,56.44,33.96
45.59,59.82,35.76
46.11,60.97,34.00
49.04,62.76,32.86
45.04,61.22,32.03
48.74,57.27,29.27
44.55,57.52,30.31
45.80,58.92,32.12
43.64,61.19,32.63
50.27,65.48,35.14
45.42,63.18,34.10
49.82,62.60,33.37
44.72,61.16,31.70
45.78,60.53,30.68
39.07,60.07,32.43
48.91,56.75,28.00
41.86,59.67,29.20
49.83,69.46,33.44
44.29,67.76,32.88
47.10,66.39,33.13
36.35,65.46,34.23
44.90,61.35,39.12
44.27,61.29,39.42
43.96,62.67,40.12
46.46,64.54,41.12
44.10,62.80,42.91
42.53,62.89,43.58
44.90,63.48,42.89
45.91,63.21,43.13
43.91,62.13,44.39
45.66,65.13,45.68
45.62,63.54,47.44
46.32,64.06,46.77
48.61,65.43,44.57
42.20,64.02,45.55
46.34,66.15,48.23
41.44,65.45,49.66
46.18,68.74,55.73
42.15,68.59,57.00
45.64,69.56,55.29
42.25,70.36,55.68
48.67,66.80,54.58
42.31,66.27,56.13
46.40,66.10,56.16
43.28,67.16,55.32
47.09,68.45,54.42
41.15,68.30,53.50
50.25,73.95,51.27
37.02,72.68,50.40
48.53,71.09,54.25
37.97,70.15,54.38
54.27,64.58,54.15
39.40,64.75,54.41
51.84,67.02,52.60
36.60,67.84,52.13
51.18,70.96,49.63
34.57,66.76,49.37
51.86,60.85,49.19
29.02,60.06,49.78
44.60,67.77,54.90
44.69,67.49,55.16
45.66,65.51,55.02
45.06,65.62,53.43
47.58,68.53,49.58
43.17,68.64,49.44
44.96,67.73,51.86
44.36,63.45,51.76
48.92,58.59,50.95
42.62,58.71,50.56
47.62,57.24,46.72
42.10,59.64,50.23
43.88,60.74,52.66
43.56,60.29,51.40
48.08,60.66,52.86
44.16,59.16,45.86
46.60,59.58,41.08
42.90,56.27,39.40
47.56,56.43,38.77
43.96,57.00,39.58
45.16,53.15,40.05
43.46,56.41,38.84
46.25,55.41,38.76
43.89,56.79,39.77
45.96,57.52,40.79
42.38,58.00,41.30
47.15,56.21,40.98
43.14,61.97,42.99
44.79,62.73,47.34
43.52,64.16,44.02
44.17,59.42,42.93
44.96,60.79,42.41
45.53,46.81,44.39
44.59,56.89,43.34
44.78,64.24,41.34
44.44,61.10,42.93
44.95,56.74,46.46
44.97,61.63,44.58
45.73,58.20,48.80
42.85,62.57,41.75
45.14,46.61,36.98
45.01,64.99,37.42
47.00,81.58,35.33
42.90,82.48,35.55
45.04,82.30,40.28
43.20,81.86,39.85
45.23,83.92,37.91
44.23,81.24,39.27
45.97,76.05,36.73
42.86,76.12,37.80
45.78,78.21,41.57
43.41,77.35,40.03
51.66,84.38,40.16
37.85,83.41,39.78
50.70,80.92,38.15
35.03,80.99,37.31
47.29,87.24,37.66
41.46,86.29,36.54
49.26,82.64,33.79
38.71,80.05,38.34
44.97,77.79,47.35
41.72,77.55,50.41
42.55,69.86,47.73
36.28,68.74,46.85
47.29,48.10,30.96
41.21,47.05,29.51
45.48,48.29,30.37
47.58,49.64,29.85
49.19,49.99,28.24
44.37,52.25,29.25
45.89,52.43,33.24
37.10,50.42,32.87
48.27,40.84,36.06
41.67,41.21,35.57
49.12,43.96,36.47
44.07,44.22,36.46
44.87,42.83,34.91
46.57,43.07,35.73
47.11,42.85,37.00
43.14,42.63,38.60
46.60,43.64,40.39
43.97,43.98,39.59
49.20,49.17,36.99
34.60,49.37,36.89
48.33,51.16,38.62
44.00,51.03,38.61
45.34,51.10,39.00
